month,month_name,origin_state_abbr,operating_airline,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,CO,UA,8429.0,542.0,4817.0,3591.0,1871.0,1304.0,768.0,272.0,3070.0,1811.0,1237.0,702.0,248.0,148603.0,138749.0,130877.0,0.36421876853719304,0.4260291849566971,0.06430181516194092,16.460908767350812,17.629967967730455,15.526990153043066
1,January,CO,WN,8687.0,290.0,3971.0,5516.0,3080.0,1701.0,605.0,113.0,4426.0,2615.0,1537.0,585.0,115.0,149271.0,131107.0,118481.0,0.5094969494647174,0.6349717969379532,0.03338321630021872,15.09232186025095,17.183262346034304,13.638885691262807
1,January,CT,9E,53.0,3.0,27.0,23.0,14.0,9.0,5.0,3.0,23.0,17.0,11.0,8.0,2.0,932.0,1084.0,1037.0,0.4339622641509434,0.4339622641509434,0.05660377358490566,20.452830188679247,17.58490566037736,19.566037735849058
1,January,CT,AA,216.0,6.0,108.0,98.0,43.0,25.0,13.0,6.0,102.0,57.0,37.0,14.0,5.0,5783.0,6390.0,6067.0,0.4722222222222222,0.4537037037037037,0.027777777777777776,29.583333333333332,26.77314814814815,28.087962962962962
1,January,CT,B6,282.0,12.0,147.0,95.0,49.0,32.0,17.0,7.0,123.0,74.0,45.0,21.0,6.0,3310.0,4395.0,4020.0,0.43617021276595747,0.33687943262411346,0.0425531914893617,15.585106382978724,11.73758865248227,14.25531914893617
1,January,CT,DL,262.0,2.0,166.0,92.0,46.0,29.0,15.0,8.0,94.0,60.0,35.0,15.0,8.0,3261.0,3697.0,3495.0,0.35877862595419846,0.3511450381679389,0.007633587786259542,14.110687022900763,12.446564885496183,13.33969465648855
1,January,CT,F9,76.0,2.0,17.0,42.0,32.0,28.0,14.0,5.0,57.0,47.0,38.0,21.0,8.0,4456.0,5589.0,5530.0,0.75,0.5526315789473685,0.02631578947368421,73.53947368421052,58.63157894736842,72.76315789473684
1,January,CT,MQ,62.0,5.0,31.0,25.0,12.0,6.0,3.0,1.0,26.0,17.0,11.0,6.0,2.0,785.0,1006.0,949.0,0.41935483870967744,0.4032258064516129,0.08064516129032258,16.225806451612904,12.661290322580646,15.306451612903226
1,January,CT,NK,28.0,1.0,12.0,13.0,8.0,5.0,4.0,3.0,15.0,10.0,9.0,4.0,4.0,1067.0,1309.0,1284.0,0.5357142857142857,0.4642857142857143,0.03571428571428571,46.75,38.107142857142854,45.857142857142854
1,January,CT,OH,153.0,9.0,89.0,47.0,37.0,26.0,22.0,12.0,55.0,41.0,30.0,24.0,12.0,5767.0,6240.0,6140.0,0.35947712418300654,0.30718954248366015,0.058823529411764705,40.78431372549019,37.69281045751634,40.130718954248366
1,January,CT,OO,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,84.0,87.0,87.0,1.0,1.0,0.0,87.0,84.0,87.0
1,January,CT,UA,120.0,12.0,65.0,34.0,16.0,6.0,5.0,4.0,43.0,16.0,10.0,7.0,4.0,1472.0,1580.0,1413.0,0.35833333333333334,0.2833333333333333,0.1,13.166666666666666,12.266666666666667,11.775
1,January,CT,WN,316.0,10.0,173.0,159.0,75.0,40.0,22.0,11.0,133.0,70.0,44.0,21.0,13.0,5197.0,5377.0,4946.0,0.4208860759493671,0.5031645569620253,0.03164556962025317,17.015822784810126,16.446202531645568,15.651898734177216
1,January,CT,YX,33.0,0.0,27.0,6.0,4.0,4.0,4.0,1.0,6.0,6.0,4.0,4.0,1.0,382.0,422.0,422.0,0.18181818181818182,0.18181818181818182,0.0,12.787878787878787,11.575757575757576,12.787878787878787
1,January,FL,9E,308.0,3.0,197.0,120.0,77.0,57.0,36.0,14.0,108.0,77.0,59.0,35.0,12.0,6867.0,6745.0,6520.0,0.35064935064935066,0.38961038961038963,0.00974025974025974,21.899350649350648,22.295454545454547,21.16883116883117
1,January,FL,AA,11085.0,139.0,5669.0,5332.0,3294.0,2333.0,1323.0,531.0,5277.0,3377.0,2370.0,1351.0,567.0,292899.0,297304.0,284477.0,0.4760487144790257,0.4810103743797925,0.012539467749210645,26.820387911592242,26.42300405953992,25.663238610735227
1,January,FL,AS,660.0,190.0,262.0,236.0,137.0,84.0,45.0,13.0,208.0,128.0,75.0,43.0,15.0,8748.0,8067.0,7559.0,0.3151515151515151,0.3575757575757576,0.2878787878787879,12.222727272727273,13.254545454545454,11.453030303030303
1,January,FL,B6,5282.0,73.0,3220.0,2421.0,1582.0,1117.0,647.0,278.0,1989.0,1406.0,1010.0,603.0,248.0,125005.0,113176.0,109170.0,0.37656190836804243,0.45834911018553576,0.013820522529344945,21.426732298371828,23.666224914805,20.668307459295722
1,January,FL,DL,7988.0,32.0,5473.0,3105.0,1603.0,1008.0,530.0,248.0,2483.0,1466.0,966.0,507.0,247.0,124517.0,116837.0,110408.0,0.3108412618928393,0.3887080620931397,0.00400600901352028,14.626564847270906,15.588007010515774,13.821732598898347
1,January,FL,F9,3718.0,95.0,2109.0,1480.0,997.0,735.0,423.0,201.0,1514.0,987.0,729.0,418.0,193.0,91985.0,90220.0,86700.0,0.4072081764389457,0.3980634749865519,0.02555137170521786,24.265734265734267,24.740451855836472,23.318988703604088
