month,month_name,origin_state_abbr,operating_airline,origin_airport,flights,cancelled_flights,on_time_flights,dep_delayed_any,dep_delayed_15,dep_delayed_30,dep_delayed_60,dep_delayed_120,arr_delayed_any,arr_delayed_15,arr_delayed_30,arr_delayed_60,arr_delayed_120,sum_departure_delay_min,sum_arrival_delay_min,sum_total_delay_min,arr_delay_rate_any,dep_delay_rate_any,cancel_rate,avg_arrival_delay_min,avg_departure_delay_min,avg_total_delay_min
1,January,CA,AA,ONT,241.0,3.0,158.0,85.0,56.0,37.0,24.0,13.0,80.0,47.0,33.0,23.0,11.0,7311.0,6893.0,6683.0,0.33195020746887965,0.35269709543568467,0.012448132780082987,28.601659751037346,30.33609958506224,27.730290456431536
1,January,CA,AA,PSP,175.0,3.0,106.0,56.0,40.0,34.0,26.0,11.0,66.0,45.0,33.0,25.0,9.0,3478.0,3459.0,3350.0,0.37714285714285717,0.32,0.017142857142857144,19.765714285714285,19.874285714285715,19.142857142857142
1,January,CA,AA,SAN,752.0,7.0,494.0,248.0,148.0,91.0,58.0,26.0,251.0,146.0,93.0,51.0,23.0,14662.0,14338.0,13646.0,0.3337765957446808,0.32978723404255317,0.009308510638297872,19.06648936170213,19.497340425531913,18.14627659574468
1,January,CA,AA,SBA,105.0,0.0,68.0,32.0,21.0,12.0,7.0,6.0,37.0,20.0,14.0,7.0,5.0,1879.0,1892.0,1804.0,0.3523809523809524,0.3047619047619048,0.0,18.01904761904762,17.895238095238096,17.18095238095238
1,January,CA,AA,SBP,39.0,0.0,20.0,21.0,14.0,11.0,5.0,2.0,19.0,11.0,9.0,4.0,1.0,1185.0,1071.0,1015.0,0.48717948717948717,0.5384615384615384,0.0,27.46153846153846,30.384615384615383,26.025641025641026
1,January,CA,AA,SFO,753.0,6.0,429.0,263.0,164.0,111.0,66.0,30.0,318.0,194.0,111.0,59.0,32.0,20344.0,20347.0,19551.0,0.42231075697211157,0.34926958831341304,0.00796812749003984,27.02124833997344,27.01726427622842,25.96414342629482
1,January,CA,AA,SJC,126.0,1.0,78.0,40.0,21.0,18.0,11.0,6.0,47.0,25.0,19.0,11.0,6.0,2840.0,2759.0,2654.0,0.373015873015873,0.31746031746031744,0.007936507936507936,21.896825396825395,22.53968253968254,21.063492063492063
1,January,CA,AA,SMF,247.0,2.0,160.0,84.0,57.0,39.0,21.0,13.0,85.0,53.0,35.0,22.0,12.0,5456.0,5172.0,4990.0,0.3441295546558704,0.340080971659919,0.008097165991902834,20.939271255060728,22.089068825910932,20.20242914979757
1,January,CA,AA,SNA,565.0,5.0,330.0,216.0,118.0,76.0,46.0,22.0,230.0,126.0,82.0,47.0,20.0,12329.0,12443.0,11746.0,0.40707964601769914,0.3823008849557522,0.008849557522123894,22.023008849557524,21.821238938053096,20.78938053097345
1,January,CA,AS,BUR,172.0,24.0,95.0,36.0,20.0,15.0,10.0,2.0,53.0,26.0,20.0,10.0,3.0,1341.0,1745.0,1549.0,0.3081395348837209,0.20930232558139536,0.13953488372093023,10.145348837209303,7.796511627906977,9.005813953488373
1,January,CA,AS,FAT,24.0,5.0,16.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,24.0,0.0,0.125,0.2916666666666667,0.20833333333333334,1.0,1.125,0.0
1,January,CA,AS,LAX,689.0,134.0,317.0,210.0,118.0,78.0,39.0,12.0,238.0,131.0,83.0,40.0,14.0,7963.0,8235.0,7527.0,0.3454281567489115,0.3047895500725689,0.19448476052249636,11.952104499274311,11.55732946298984,10.924528301886792
1,January,CA,AS,OAK,62.0,15.0,32.0,17.0,9.0,6.0,5.0,0.0,15.0,8.0,7.0,4.0,0.0,582.0,529.0,482.0,0.24193548387096775,0.27419354838709675,0.24193548387096775,8.53225806451613,9.387096774193548,7.774193548387097
1,January,CA,AS,ONT,110.0,27.0,60.0,18.0,8.0,5.0,4.0,1.0,23.0,10.0,5.0,3.0,1.0,648.0,613.0,551.0,0.20909090909090908,0.16363636363636364,0.24545454545454545,5.572727272727272,5.890909090909091,5.009090909090909
1,January,CA,AS,PSP,192.0,51.0,76.0,50.0,29.0,23.0,11.0,5.0,65.0,34.0,25.0,11.0,5.0,2193.0,2399.0,2210.0,0.3385416666666667,0.2604166666666667,0.265625,12.494791666666666,11.421875,11.510416666666666
1,January,CA,AS,SAN,676.0,191.0,285.0,179.0,86.0,54.0,35.0,21.0,200.0,109.0,57.0,39.0,17.0,7015.0,7505.0,6852.0,0.2958579881656805,0.26479289940828404,0.28254437869822485,11.10207100591716,10.377218934911243,10.136094674556213
1,January,CA,AS,SBA,20.0,0.0,13.0,6.0,4.0,3.0,3.0,0.0,7.0,5.0,3.0,2.0,0.0,293.0,269.0,262.0,0.35,0.3,0.0,13.45,14.65,13.1
1,January,CA,AS,SFO,782.0,207.0,337.0,201.0,120.0,82.0,43.0,12.0,238.0,133.0,85.0,46.0,14.0,8112.0,8844.0,8116.0,0.30434782608695654,0.2570332480818414,0.2647058823529412,11.309462915601022,10.373401534526854,10.378516624040921
1,January,CA,AS,SJC,187.0,41.0,88.0,41.0,26.0,18.0,9.0,3.0,58.0,35.0,20.0,7.0,1.0,1673.0,1883.0,1687.0,0.31016042780748665,0.2192513368983957,0.2192513368983957,10.06951871657754,8.946524064171124,9.02139037433155
